4.8212	4.1282	4.7484	4.0799
3.3	3.5657	2.9863	3.4659
3.2896	3.0807	3.1888	2.9882
3.4792	3.2101	3.4477	3.2101
2.8885	3.2219	3.034	3.4742
7.5133	3.7757	7.4815	3.8097
2.9923	1.6157	2.7545	1.5535
3.366	2.8776	3.369	2.9546
4.5965	4.1026	4.4781	4.0069
3.2068	1.7674	3.2006	1.8257
3.1554	2.5304	3.0711	2.5003
5.3938	2.3089	5.3014	2.3169
5.8235	4.4103	5.7407	4.4091
2.9187	3.4442	2.8434	3.5547
2.1012	2.9106	2.0931	2.9429
2.1617	2.795	2.0626	2.8001
1.0581	1.2952	0.98157	1.3766
4.3076	3.3758	4.1136	3.2664
5.3422	1.8503	5.3255	1.8725
4.9076	3.4772	4.7678	3.3767
4.663	2.4664	4.6164	2.4174
2.7995	0.94598	2.6923	0.87597
-1.0788	0.63095	-1.1852	0.6019
5.3383	4.5091	5.2719	4.4173
5.2272	2.6652	5.2081	2.6073
4.305	2.0559	4.2569	2.1152
4.6323	2.2162	4.2702	1.9668
5.0729	2.7501	5.0345	2.7986
2.2101	3.4131	1.8179	3.2183
0.11608	1.1938	0.21535	1.3988
1.9319	2.5099	1.6253	2.3145
2.7991	2.0231	2.818	2.2186
4.7372	3.9457	4.6134	3.8372
4.0206	2.6255	3.7068	2.446
-0.42569	0.40577	-0.46651	0.35038
-3.1592	0.80309	-3.3506	1.0881
7.3243	8.2211	7.3134	8.2136
6.6674	4.0695	6.605	4.0739
2.8869	2.4954	2.8735	2.495
6.8005	7.1434	6.7523	7.0286
5.0487	4.6778	4.9941	4.6463
4.8349	5.2506	4.4519	4.7983
2.7045	1.6858	2.6541	1.614
0.17796	1.1085	0.042286	1.0813
-0.1957	1.1757	-0.3239	1.1301
5.7004	2.9023	5.6693	2.7517
5.7453	2.6555	5.6671	2.5808
4.606	2.2847	4.5388	2.2198
5.613	3.6273	5.5308	3.6722
7.0701	3.6692	6.9953	3.6209
5.1453	2.8675	5.0198	2.8357
5.5473	2.7236	5.5343	2.7095
2.9763	1.6116	2.9268	1.572
1.5089	1.7463	1.3218	1.5382
5.6906	2.2583	5.6535	2.2049
5.4405	3.4641	5.3328	3.4268
5.8714	5.1151	5.7789	5.0424
5.6475	2.9521	5.5418	2.778
5.0423	2.1484	4.9199	1.9964
6.2074	4.5792	6.1681	4.5591
9.9106	6.4325	9.8522	6.4115
5.2324	3.6525	5.1518	3.6455
8.8984	6.8283	8.7983	6.7496
6.7588	3.5637	6.737	3.5274
3.7843	2.6985	3.7417	2.6215
3.1884	1.9265	3.1781	1.7564
2.8136	2.8936	2.7553	2.7847
3.5655	1.8522	3.5427	1.7629
-0.72106	1.0162	-0.71992	1.057
4.3232	3.3489	4.3916	3.242
6.2366	4.7274	6.1678	4.737
6.5252	5.4931	6.4358	5.5002
5.9282	5.4115	5.9351	5.3189
3.2745	1.4078	3.2042	1.3489
3.3494	2.2657	3.26	2.217
8.8059	6.1047	8.7529	6.0657
9.3174	5.203	9.273	5.2062
